2019-06-04 21:54:40.767	  0x7fffab02d380	INFO 	logging	contrib/epee/src/mlog.cpp:277	New log categories: *:WARNING,net:FATAL,net.http:FATAL,net.p2p:FATAL,net.cn:FATAL,global:INFO,verify:FATAL,stacktrace:INFO,logging:INFO,msgwriter:INFO
2019-06-04 22:19:12.743	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'eje' is shorter than its prefix length, 4
2019-06-04 22:19:12.743	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'fax' is shorter than its prefix length, 4
2019-06-04 22:19:12.743	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'feo' is shorter than its prefix length, 4
2019-06-04 22:19:12.744	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'fin' is shorter than its prefix length, 4
2019-06-04 22:19:12.744	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'gen' is shorter than its prefix length, 4
2019-06-04 22:19:12.744	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'gol' is shorter than its prefix length, 4
2019-06-04 22:19:12.744	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'haz' is shorter than its prefix length, 4
2019-06-04 22:19:12.744	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'ira' is shorter than its prefix length, 4
2019-06-04 22:19:12.744	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'luz' is shorter than its prefix length, 4
2019-06-04 22:19:12.744	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'mar' is shorter than its prefix length, 4
2019-06-04 22:19:12.745	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'mes' is shorter than its prefix length, 4
2019-06-04 22:19:12.745	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'mil' is shorter than its prefix length, 4
2019-06-04 22:19:12.745	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'oca' is shorter than its prefix length, 4
2019-06-04 22:19:12.745	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'ojo' is shorter than its prefix length, 4
2019-06-04 22:19:12.745	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'ola' is shorter than its prefix length, 4
2019-06-04 22:19:12.746	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'oro' is shorter than its prefix length, 4
2019-06-04 22:19:12.746	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'oso' is shorter than its prefix length, 4
2019-06-04 22:19:12.746	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'pan' is shorter than its prefix length, 4
2019-06-04 22:19:12.746	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'pez' is shorter than its prefix length, 4
2019-06-04 22:19:12.746	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'pie' is shorter than its prefix length, 4
2019-06-04 22:19:12.746	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'red' is shorter than its prefix length, 4
2019-06-04 22:19:12.747	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'res' is shorter than its prefix length, 4
2019-06-04 22:19:12.747	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'rey' is shorter than its prefix length, 4
2019-06-04 22:19:13.617	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:4585	!is_keys_file_locked(). THROW EXCEPTION: error::wallet_internal_error
2019-06-04 22:19:29.918	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2045	!r. THROW EXCEPTION: error::no_connection_to_daemon
2019-06-04 22:19:29.918	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:125	Exception at while refreshing, what=no connection to daemon
2019-06-04 22:19:49.935	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2045	!r. THROW EXCEPTION: error::no_connection_to_daemon
2019-06-04 22:19:49.935	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:125	Exception at while refreshing, what=no connection to daemon
2019-06-04 22:20:09.957	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2045	!r. THROW EXCEPTION: error::no_connection_to_daemon
2019-06-04 22:20:09.957	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:125	Exception at while refreshing, what=no connection to daemon
2019-06-04 22:20:29.982	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2045	!r. THROW EXCEPTION: error::no_connection_to_daemon
2019-06-04 22:20:29.983	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:125	Exception at while refreshing, what=no connection to daemon
2019-06-04 22:20:50.014	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2045	!r. THROW EXCEPTION: error::no_connection_to_daemon
2019-06-04 22:20:50.014	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:125	Exception at while refreshing, what=no connection to daemon
2019-06-04 22:21:10.034	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2045	!r. THROW EXCEPTION: error::no_connection_to_daemon
2019-06-04 22:21:10.034	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:125	Exception at while refreshing, what=no connection to daemon
2019-06-04 22:21:30.047	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2045	!r. THROW EXCEPTION: error::no_connection_to_daemon
2019-06-04 22:21:30.047	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:125	Exception at while refreshing, what=no connection to daemon
2019-06-04 22:21:50.065	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2045	!r. THROW EXCEPTION: error::no_connection_to_daemon
2019-06-04 22:21:50.065	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:125	Exception at while refreshing, what=no connection to daemon
2019-06-04 22:22:10.094	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2045	!r. THROW EXCEPTION: error::no_connection_to_daemon
2019-06-04 22:22:10.094	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:125	Exception at while refreshing, what=no connection to daemon
2019-06-04 22:22:28.623	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:4585	!is_keys_file_locked(). THROW EXCEPTION: error::wallet_internal_error
2019-06-04 22:22:30.165	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2045	!r. THROW EXCEPTION: error::no_connection_to_daemon
2019-06-04 22:22:30.165	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:125	Exception at while refreshing, what=no connection to daemon
2019-06-04 22:22:50.184	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2045	!r. THROW EXCEPTION: error::no_connection_to_daemon
2019-06-04 22:22:50.185	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:125	Exception at while refreshing, what=no connection to daemon
2019-06-04 22:23:10.206	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2045	!r. THROW EXCEPTION: error::no_connection_to_daemon
2019-06-04 22:23:10.206	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:125	Exception at while refreshing, what=no connection to daemon
2019-06-04 22:23:30.226	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2045	!r. THROW EXCEPTION: error::no_connection_to_daemon
2019-06-04 22:23:30.226	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:125	Exception at while refreshing, what=no connection to daemon
2019-06-04 22:23:50.254	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2045	!r. THROW EXCEPTION: error::no_connection_to_daemon
2019-06-04 22:23:50.254	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:125	Exception at while refreshing, what=no connection to daemon
2019-06-04 22:24:10.268	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2045	!r. THROW EXCEPTION: error::no_connection_to_daemon
2019-06-04 22:24:10.268	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:125	Exception at while refreshing, what=no connection to daemon
2019-06-04 22:24:30.288	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2045	!r. THROW EXCEPTION: error::no_connection_to_daemon
2019-06-04 22:24:30.288	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:125	Exception at while refreshing, what=no connection to daemon
2019-06-04 22:24:50.316	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2045	!r. THROW EXCEPTION: error::no_connection_to_daemon
2019-06-04 22:24:50.316	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:125	Exception at while refreshing, what=no connection to daemon
2019-06-04 22:25:10.338	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:2045	!r. THROW EXCEPTION: error::no_connection_to_daemon
2019-06-04 22:25:10.338	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:125	Exception at while refreshing, what=no connection to daemon
2019-06-04 22:25:11.381	[SRV_MAIN]	WARN 	wallet.rpc	src/wallet/wallet_rpc_server.cpp:3465	Stopped wallet RPC server
2019-06-04 22:25:11.381	[SRV_MAIN]	WARN 	wallet.rpc	src/wallet/wallet_rpc_server.cpp:3468	Saving wallet...
2019-06-04 22:25:11.393	[SRV_MAIN]	WARN 	wallet.rpc	src/wallet/wallet_rpc_server.cpp:3470	Successfully saved
2019-06-04 22:28:02.158	  0x7fffab02d380	INFO 	logging	contrib/epee/src/mlog.cpp:277	New log categories: *:WARNING,net:FATAL,net.http:FATAL,net.p2p:FATAL,net.cn:FATAL,global:INFO,verify:FATAL,stacktrace:INFO,logging:INFO,msgwriter:INFO
2019-06-04 22:28:02.159	  0x7fffab02d380	INFO 	global	contrib/epee/include/net/http_server_impl_base.h:76	Binding on 127.0.0.1:28083
2019-06-04 22:28:02.160	  0x7fffab02d380	WARN 	wallet.rpc	src/wallet/wallet_rpc_server.cpp:3455	Starting wallet RPC server
2019-06-04 22:28:17.928	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'asa' is shorter than its prefix length, 4
2019-06-04 22:28:17.928	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'ave' is shorter than its prefix length, 4
2019-06-04 22:28:17.928	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'boa' is shorter than its prefix length, 4
2019-06-04 22:28:17.928	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'cal' is shorter than its prefix length, 4
2019-06-04 22:28:17.928	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'dar' is shorter than its prefix length, 4
2019-06-04 22:28:17.929	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'don' is shorter than its prefix length, 4
2019-06-04 22:28:17.929	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'dos' is shorter than its prefix length, 4
2019-06-04 22:28:17.929	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'eco' is shorter than its prefix length, 4
2019-06-04 22:28:17.929	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'eje' is shorter than its prefix length, 4
2019-06-04 22:28:17.929	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'fax' is shorter than its prefix length, 4
2019-06-04 22:28:17.929	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'feo' is shorter than its prefix length, 4
2019-06-04 22:28:17.929	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'fin' is shorter than its prefix length, 4
2019-06-04 22:28:17.929	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'gen' is shorter than its prefix length, 4
2019-06-04 22:28:17.929	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'gol' is shorter than its prefix length, 4
2019-06-04 22:28:17.982	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'haz' is shorter than its prefix length, 4
2019-06-04 22:28:17.982	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'ira' is shorter than its prefix length, 4
2019-06-04 22:28:17.982	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'luz' is shorter than its prefix length, 4
2019-06-04 22:28:17.982	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'mar' is shorter than its prefix length, 4
2019-06-04 22:28:17.982	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'mes' is shorter than its prefix length, 4
2019-06-04 22:28:17.982	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'mil' is shorter than its prefix length, 4
2019-06-04 22:28:17.983	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'oca' is shorter than its prefix length, 4
2019-06-04 22:28:17.983	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'ojo' is shorter than its prefix length, 4
2019-06-04 22:28:17.983	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'ola' is shorter than its prefix length, 4
2019-06-04 22:28:17.983	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'oro' is shorter than its prefix length, 4
2019-06-04 22:28:17.983	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'oso' is shorter than its prefix length, 4
2019-06-04 22:28:17.983	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'pan' is shorter than its prefix length, 4
2019-06-04 22:28:17.983	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'pez' is shorter than its prefix length, 4
2019-06-04 22:28:17.983	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'pie' is shorter than its prefix length, 4
2019-06-04 22:28:17.983	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'red' is shorter than its prefix length, 4
2019-06-04 22:28:17.984	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'res' is shorter than its prefix length, 4
2019-06-04 22:28:17.984	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'rey' is shorter than its prefix length, 4
2019-06-04 22:28:18.777	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:4585	!is_keys_file_locked(). THROW EXCEPTION: error::wallet_internal_error
2019-06-04 22:29:27.817	[SRV_MAIN]	WARN 	wallet.rpc	src/wallet/wallet_rpc_server.cpp:3465	Stopped wallet RPC server
2019-06-04 22:29:27.817	[SRV_MAIN]	WARN 	wallet.rpc	src/wallet/wallet_rpc_server.cpp:3468	Saving wallet...
2019-06-04 22:29:28.749	[SRV_MAIN]	WARN 	wallet.rpc	src/wallet/wallet_rpc_server.cpp:3470	Successfully saved
2019-06-04 22:30:37.365	  0x7fffab02d380	INFO 	logging	contrib/epee/src/mlog.cpp:277	New log categories: *:WARNING,net:FATAL,net.http:FATAL,net.p2p:FATAL,net.cn:FATAL,global:INFO,verify:FATAL,stacktrace:INFO,logging:INFO,msgwriter:INFO
2019-06-04 22:30:37.366	  0x7fffab02d380	INFO 	global	contrib/epee/include/net/http_server_impl_base.h:76	Binding on 127.0.0.1:28083
2019-06-04 22:30:37.366	  0x7fffab02d380	WARN 	wallet.rpc	src/wallet/wallet_rpc_server.cpp:3455	Starting wallet RPC server
2019-06-04 22:30:46.821	[SRV_MAIN]	WARN 	wallet.rpc	src/wallet/wallet_rpc_server.cpp:3465	Stopped wallet RPC server
2019-06-04 22:30:46.821	[SRV_MAIN]	WARN 	wallet.rpc	src/wallet/wallet_rpc_server.cpp:3468	Saving wallet...
2019-06-04 22:30:46.821	[SRV_MAIN]	WARN 	wallet.rpc	src/wallet/wallet_rpc_server.cpp:3470	Successfully saved
2019-06-04 22:32:04.564	  0x7fffab02d380	INFO 	logging	contrib/epee/src/mlog.cpp:277	New log categories: *:WARNING,net:FATAL,net.http:FATAL,net.p2p:FATAL,net.cn:FATAL,global:INFO,verify:FATAL,stacktrace:INFO,logging:INFO,msgwriter:INFO
2019-06-04 22:32:04.565	  0x7fffab02d380	INFO 	global	contrib/epee/include/net/http_server_impl_base.h:76	Binding on 127.0.0.1:28083
2019-06-04 22:32:04.565	  0x7fffab02d380	WARN 	wallet.rpc	src/wallet/wallet_rpc_server.cpp:3455	Starting wallet RPC server
2019-06-04 22:34:39.405	[SRV_MAIN]	WARN 	wallet.rpc	src/wallet/wallet_rpc_server.cpp:3465	Stopped wallet RPC server
2019-06-04 22:34:39.405	[SRV_MAIN]	WARN 	wallet.rpc	src/wallet/wallet_rpc_server.cpp:3468	Saving wallet...
2019-06-04 22:34:39.405	[SRV_MAIN]	WARN 	wallet.rpc	src/wallet/wallet_rpc_server.cpp:3470	Successfully saved
2019-06-06 21:42:44.007	  0x7fffab02d380	INFO 	logging	contrib/epee/src/mlog.cpp:277	New log categories: *:WARNING,net:FATAL,net.http:FATAL,net.p2p:FATAL,net.cn:FATAL,global:INFO,verify:FATAL,stacktrace:INFO,logging:INFO,msgwriter:INFO
2019-06-06 21:42:44.009	  0x7fffab02d380	INFO 	global	contrib/epee/include/net/http_server_impl_base.h:76	Binding on 127.0.0.1:28083
2019-06-06 21:42:44.010	  0x7fffab02d380	WARN 	wallet.rpc	src/wallet/wallet_rpc_server.cpp:3455	Starting wallet RPC server
2019-06-06 21:42:52.317	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'asa' is shorter than its prefix length, 4
2019-06-06 21:42:52.317	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'ave' is shorter than its prefix length, 4
2019-06-06 21:42:52.317	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'boa' is shorter than its prefix length, 4
2019-06-06 21:42:52.317	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'cal' is shorter than its prefix length, 4
2019-06-06 21:42:52.318	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'dar' is shorter than its prefix length, 4
2019-06-06 21:42:52.318	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'don' is shorter than its prefix length, 4
2019-06-06 21:42:52.318	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'dos' is shorter than its prefix length, 4
2019-06-06 21:42:52.318	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'eco' is shorter than its prefix length, 4
2019-06-06 21:42:52.318	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'eje' is shorter than its prefix length, 4
2019-06-06 21:42:52.318	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'fax' is shorter than its prefix length, 4
2019-06-06 21:42:52.318	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'feo' is shorter than its prefix length, 4
2019-06-06 21:42:52.318	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'fin' is shorter than its prefix length, 4
2019-06-06 21:42:52.318	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'gen' is shorter than its prefix length, 4
2019-06-06 21:42:52.318	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'gol' is shorter than its prefix length, 4
2019-06-06 21:42:52.358	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'haz' is shorter than its prefix length, 4
2019-06-06 21:42:52.359	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'ira' is shorter than its prefix length, 4
2019-06-06 21:42:52.359	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'luz' is shorter than its prefix length, 4
2019-06-06 21:42:52.359	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'mar' is shorter than its prefix length, 4
2019-06-06 21:42:52.359	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'mes' is shorter than its prefix length, 4
2019-06-06 21:42:52.359	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'mil' is shorter than its prefix length, 4
2019-06-06 21:42:52.359	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'oca' is shorter than its prefix length, 4
2019-06-06 21:42:52.359	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'ojo' is shorter than its prefix length, 4
2019-06-06 21:42:52.359	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'ola' is shorter than its prefix length, 4
2019-06-06 21:42:52.360	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'oro' is shorter than its prefix length, 4
2019-06-06 21:42:52.360	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'oso' is shorter than its prefix length, 4
2019-06-06 21:42:52.360	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'pan' is shorter than its prefix length, 4
2019-06-06 21:42:52.360	[RPC0]	WARN 	default	src/mnemonics/language_base.h:110	Español word 'pez' is shorter than its prefix length, 4
